Participant,UnityTime,CurrentSession,ConstrictedSize,DilatedSize,CurrentStimuli,StimuliStartSize,StimuliEndSize,StimuliPupilSize,PupilSizeChanging,PupilDataActive,LeftPupilSize,RightPupilSize,Frame
2,13:21:00:428,1,9,1,Human,1,0,0,False,False,0,0,237
2,13:21:00:437,1,9,1,Human,1,0,0,False,False,0,0,238
2,13:21:00:447,1,9,1,Human,1,0,0,False,False,0,0,239
2,13:21:00:456,1,9,1,Human,1,0,0,False,False,0,0,240
2,13:21:00:467,1,9,1,Human,1,0,0,False,False,0,0,241
2,13:21:00:479,1,9,1,Human,1,0,0,False,False,0,0,242
2,13:21:00:489,1,9,1,Human,1,0,0,False,False,0,0,243
2,13:21:00:500,1,9,1,Human,1,0,0,False,False,0,0,244
2,13:21:00:511,1,9,1,Human,1,0,0,False,False,0,0,245
2,13:21:00:523,1,9,1,Human,1,0,0,False,False,0,0,246
2,13:21:00:533,1,9,1,Human,1,0,0,False,False,0,0,247
2,13:21:00:545,1,9,1,Human,1,0,0,False,False,0,0,248
2,13:21:00:555,1,9,1,Human,1,0,0,False,False,0,0,249
2,13:21:00:566,1,9,1,Human,1,0,0,False,False,0,0,250
2,13:21:00:579,1,9,1,Human,1,0,0,False,False,0,0,251
2,13:21:00:589,1,9,1,Human,1,0,0,False,False,0,0,252
2,13:21:00:601,1,9,1,Human,1,0,0,False,False,0,0,253
2,13:21:00:613,1,9,1,Human,1,0,0,False,False,0,0,254
2,13:21:00:628,1,9,1,Human,1,0,0,False,False,0,0,255
2,13:21:00:638,1,9,1,Human,1,0,0,False,False,0,0,256
2,13:21:00:647,1,9,1,Human,1,0,0,False,False,0,0,257
2,13:21:00:656,1,9,1,Human,1,0,0,False,False,0,0,258
2,13:21:00:668,1,9,1,Human,1,0,0,False,False,0,0,259
2,13:21:00:679,1,9,1,Human,1,0,0,False,False,0,0,260
2,13:21:00:689,1,9,1,Human,1,0,0,False,False,0,0,261
2,13:21:00:701,1,9,1,Human,1,0,0,False,False,0,0,262
